36134, 168.00, 182.32

36229, 168.00, 184.35

36324, 168.00, 184.03

36420, 168.00, 182.59

36518, 168.00, 185.22

36616, 168.00, 184.32

36711, 168.00, 183.37

36805, 168.00, 182.11

36900, 168.00, 180.39

36997, 168.00, 177.91

37094, 168.00, 175.77

37187, 168.00, 174.26

37282, 168.00, 171.96

37379, 168.00, 168.91

37474, 168.00, 168.58

37565, 168.00, 167.45

37660, 168.00, 164.68

37758, 168.00, 163.76

37854, 168.00, 163.68

37947, 168.00, 162.08

38041, 168.00, 168.68

38138, 168.00, 160.79

38234, 168.00, 163.62

38327, 168.00, 163.70

38421, 168.00, 160.47

38518, 168.00, 160.82

38614, 168.00, 162.62

38707, 168.00, 162.02

38803, 168.00, 160.61

38899, 168.00, 159.16

38994, 168.00, 162.43

39088, 168.00, 160.81

39183, 168.00, 162.38

39279, 168.00, 158.88

39375, 168.00, 160.80

39471, 168.00, 161.51

39565, 168.00, 160.40

39661, 168.00, 159.80

39757, 168.00, 162.42

39852, 168.00, 162.99

39946, 168.00, 161.89

40041, 168.00, 161.70

40138, 168.00, 163.84

40235, 168.00, 164.71

40327, 168.00, 166.22

40421, 168.00, 166.43

40517, 168.00, 166.00

40612, 168.00, 166.35

40704, 168.00, 166.60

40799, 168.00, 162.85

40896, 168.00, 165.82

40988, 168.00, 166.21

41083, 168.00, 165.74

41180, 168.00, 163.04

41277, 168.00, 163.34

41370, 168.00, 164.47

41464, 168.00, 164.65

41561, 168.00, 164.96

41656, 168.00, 165.56

41750, 168.00, 165.80

41843, 168.00, 164.13

41938, 168.00, 166.44

42035, 168.00, 167.19

42126, 168.00, 167.90

42222, 168.00, 165.03

42318, 168.00, 167.91

42413, 168.00, 168.03

42505, 168.00, 167.59

42601, 168.00, 165.10

42695, 168.00, 167.40

42787, 168.00, 167.42

42883, 168.00, 164.56

42979, 168.00, 166.32

43075, 168.00, 167.05

43166, 168.00, 167.06

43262, 168.00, 164.38

43360, 168.00, 163.73

43456, 168.00, 167.09

43550, 168.00, 168.23

43646, 168.00, 166.26

43743, 168.00, 167.61

43840, 168.00, 167.36

43935, 168.00, 171.13

44027, 168.00, 172.53

44124, 168.00, 171.36

44221, 168.00, 171.74

44319, 168.00, 169.79

44416, 168.00, 168.52

44509, 168.00, 176.88

44604, 168.00, 175.33

44701, 168.00, 174.41

44798, 168.00, 176.99

44896, 168.00, 178.64

44990, 168.00, 179.75

45085, 168.00, 180.18

45181, 168.00, 180.05

45280, 168.00, 180.03

45376, 168.00, 181.31

45470, 168.00, 180.65

45565, 168.00, 180.31

45662, 168.00, 176.52

45759, 168.00, 178.57

45856, 168.00, 177.68

45952, 168.00, 177.54

46044, 168.00, 176.04

46141, 168.00, 173.08

46238, 168.00, 174.55

46336, 168.00, 174.50

46429, 168.00, 173.98

46524, 168.00, 169.75

46621, 168.00, 167.83

46718, 168.00, 168.86

46814, 168.00, 167.87

46909, 168.00, 163.68

47005, 168.00, 166.07

47101, 168.00, 165.36

47199, 168.00, 164.36

47295, 168.00, 163.32

47388, 168.00, 162.51

47483, 168.00, 161.50

47581, 168.00, 161.82

47678, 168.00, 163.91

47773, 168.00, 165.18

47864, 168.00, 164.76

47961, 168.00, 160.56

48058, 168.00, 163.98

48152, 168.00, 164.51

48246, 168.00, 162.69

48340, 168.00, 160.97

48439, 168.00, 163.36

48534, 168.00, 164.01

48626, 168.00, 164.96

48721, 168.00, 163.76

48819, 168.00, 164.06

48915, 168.00, 163.85

49007, 168.00, 163.37

49103, 168.00, 161.67

49200, 168.00, 163.46

49295, 168.00, 163.75

49388, 168.00, 163.57

